policy,step,mean_evacuation_rate,std_evacuation_rate,mean_escaped,std_escaped
no_robot,0,0.0,0.0,0.0,0.0
no_robot,1,0.0,0.0,0.0,0.0
no_robot,2,0.0,0.0,0.0,0.0
no_robot,3,0.0,0.0,0.0,0.0
no_robot,4,0.0,0.0,0.0,0.0
no_robot,5,0.0,0.0,0.0,0.0
no_robot,6,0.0,0.0,0.0,0.0
no_robot,7,0.0,0.0,0.0,0.0
no_robot,8,0.0,0.0,0.0,0.0
no_robot,9,0.0,0.0,0.0,0.0
no_robot,10,0.0,0.0,0.0,0.0
no_robot,11,0.0,0.0,0.0,0.0
no_robot,12,0.0,0.0,0.0,0.0
no_robot,13,0.0,0.0,0.0,0.0
no_robot,14,0.0,0.0,0.0,0.0
no_robot,15,0.0,0.0,0.0,0.0
no_robot,16,0.0,0.0,0.0,0.0
no_robot,17,0.0,0.0,0.0,0.0
no_robot,18,0.0,0.0,0.0,0.0
no_robot,19,0.0,0.0,0.0,0.0
no_robot,20,0.0,0.0,0.0,0.0
no_robot,21,0.0,0.0,0.0,0.0
no_robot,22,0.0,0.0,0.0,0.0
no_robot,23,0.0,0.0,0.0,0.0
no_robot,24,0.0,0.0,0.0,0.0
no_robot,25,0.0,0.0,0.0,0.0
no_robot,26,0.0,0.0,0.0,0.0
no_robot,27,0.0,0.0,0.0,0.0
no_robot,28,0.0,0.0,0.0,0.0
no_robot,29,0.0,0.0,0.0,0.0
no_robot,30,0.0,0.0,0.0,0.0
no_robot,31,0.0,0.0,0.0,0.0
no_robot,32,0.013214,0.002551,1.85,0.357
no_robot,33,0.014286,0.0,2.0,0.0
no_robot,34,0.027143,0.002857,3.8,0.4
no_robot,35,0.028571,0.0,4.0,0.0
no_robot,36,0.041071,0.003093,5.75,0.433
no_robot,37,0.042857,0.0,6.0,0.0
no_robot,38,0.055,0.003977,7.7,0.557
no_robot,39,0.056786,0.001557,7.95,0.218
no_robot,40,0.067143,0.004165,9.4,0.583
no_robot,41,0.070714,0.002143,9.9,0.3
no_robot,42,0.076429,0.005579,10.7,0.781
no_robot,43,0.081429,0.004738,11.4,0.663
no_robot,44,0.0875,0.006729,12.25,0.942
no_robot,45,0.093214,0.006576,13.05,0.921
no_robot,46,0.098214,0.007449,13.75,1.043
no_robot,47,0.1025,0.007585,14.35,1.062
no_robot,48,0.108929,0.009,15.25,1.26
no_robot,49,0.111786,0.009917,15.65,1.388
no_robot,50,0.119286,0.01154,16.7,1.616
no_robot,51,0.123214,0.011266,17.25,1.577
no_robot,52,0.130357,0.012551,18.25,1.757
no_robot,53,0.135,0.012143,18.9,1.7
no_robot,54,0.141786,0.012011,19.85,1.682
no_robot,55,0.145714,0.013628,20.4,1.908
no_robot,56,0.150714,0.015956,21.1,2.234
no_robot,57,0.155,0.017068,21.7,2.39
no_robot,58,0.161429,0.016963,22.6,2.375
no_robot,59,0.165,0.019418,23.1,2.718
no_robot,60,0.17,0.020898,23.8,2.926
no_robot,61,0.175,0.021958,24.5,3.074
no_robot,62,0.181071,0.022506,25.35,3.151
no_robot,63,0.186429,0.024106,26.1,3.375
no_robot,64,0.19,0.024682,26.6,3.455
no_robot,65,0.197143,0.025892,27.6,3.625
no_robot,66,0.202143,0.024128,28.3,3.378
no_robot,67,0.208214,0.026465,29.15,3.705
no_robot,68,0.213929,0.024377,29.95,3.413
no_robot,69,0.217857,0.026486,30.5,3.708
no_robot,70,0.223571,0.027488,31.3,3.848
no_robot,71,0.229643,0.028507,32.15,3.991
no_robot,72,0.233929,0.027281,32.75,3.819
no_robot,73,0.241071,0.02856,33.75,3.998
