block_prob,position,factor,cutoff,decay,baseline_mean_steps,robot_mean_steps,robot_std_steps,mean_escaped,mean_rate,reduction_percent
0.9,upstream_exit,1.0,4.0,0.35,177.7,145.7,1.005,112.0,0.8,18.008
0.9,upstream_exit,1.2,4.0,0.35,177.7,145.9,0.831,112.0,0.8,17.895
0.9,upstream_exit,0.8,4.0,0.35,177.7,147.2,1.6,112.1,0.801,17.164
0.9,upstream_exit,1.0,4.0,0.5,177.7,147.5,2.655,112.1,0.801,16.995
0.9,upstream_exit,1.2,4.0,0.5,177.7,147.7,2.648,112.0,0.8,16.882
0.9,behind_exit,1.0,5.0,0.35,177.7,149.9,2.427,112.1,0.801,15.644
0.9,upstream_exit,0.8,3.0,0.35,177.7,150.0,2.72,112.1,0.801,15.588
0.9,upstream_exit,1.2,3.0,0.35,177.7,150.2,2.358,112.1,0.801,15.476
0.9,upstream_exit,1.2,3.0,0.5,177.7,150.2,2.358,112.1,0.801,15.476
0.9,upstream_exit,0.8,3.0,0.5,177.7,150.7,2.934,112.0,0.8,15.194
0.9,upstream_exit,1.0,3.0,0.35,177.7,150.8,2.227,112.1,0.801,15.138
0.9,upstream_exit,1.0,3.0,0.5,177.7,150.8,2.227,112.1,0.801,15.138
0.9,upstream_exit,1.2,5.0,0.5,177.7,150.8,3.187,112.1,0.801,15.138
0.9,upstream_exit,0.8,4.0,0.5,177.7,151.5,3.008,112.2,0.801,14.744
0.9,upstream_exit,0.5,3.0,0.35,177.7,151.8,3.027,112.3,0.802,14.575
0.9,behind_exit,1.0,4.0,0.35,177.7,152.1,4.742,112.2,0.801,14.406
0.9,behind_exit,1.2,4.0,0.35,177.7,152.1,4.742,112.2,0.801,14.406
0.9,behind_exit,1.2,5.0,0.35,177.7,152.9,2.773,112.0,0.8,13.956
0.9,upstream_exit,0.8,5.0,0.35,177.7,153.9,6.188,112.2,0.801,13.393
0.9,behind_exit,0.8,4.0,0.35,177.7,154.2,3.97,112.1,0.801,13.225
