policy,episode,seed,final_step,final_rate,final_escaped
no_robot,0,3000,174,0.8,112.0
no_robot,1,3001,170,0.8,112.0
no_robot,2,3002,167,0.8,112.0
no_robot,3,3003,172,0.8,112.0
no_robot,4,3004,188,0.8,112.0
no_robot,5,3005,169,0.8,112.0
no_robot,6,3006,177,0.8,112.0
no_robot,7,3007,156,0.807143,113.0
no_robot,8,3008,160,0.8,112.0
no_robot,9,3009,176,0.8,112.0
no_robot,10,3010,158,0.8,112.0
no_robot,11,3011,199,0.8,112.0
no_robot,12,3012,172,0.8,112.0
no_robot,13,3013,176,0.8,112.0
no_robot,14,3014,173,0.8,112.0
no_robot,15,3015,182,0.8,112.0
no_robot,16,3016,179,0.8,112.0
no_robot,17,3017,169,0.8,112.0
no_robot,18,3018,184,0.8,112.0
no_robot,19,3019,173,0.8,112.0
default_stay,0,3000,149,0.8,112.0
default_stay,1,3001,166,0.8,112.0
default_stay,2,3002,154,0.807143,113.0
default_stay,3,3003,156,0.8,112.0
default_stay,4,3004,159,0.8,112.0
default_stay,5,3005,151,0.8,112.0
default_stay,6,3006,152,0.8,112.0
default_stay,7,3007,154,0.8,112.0
default_stay,8,3008,152,0.8,112.0
default_stay,9,3009,155,0.8,112.0
default_stay,10,3010,148,0.8,112.0
default_stay,11,3011,150,0.8,112.0
default_stay,12,3012,156,0.807143,113.0
default_stay,13,3013,160,0.8,112.0
default_stay,14,3014,166,0.8,112.0
default_stay,15,3015,158,0.8,112.0
default_stay,16,3016,164,0.8,112.0
default_stay,17,3017,152,0.8,112.0
default_stay,18,3018,156,0.8,112.0
default_stay,19,3019,151,0.8,112.0
static_good,0,3000,192,0.8,112.0
static_good,1,3001,173,0.807143,113.0
static_good,2,3002,177,0.8,112.0
static_good,3,3003,167,0.8,112.0
static_good,4,3004,160,0.8,112.0
static_good,5,3005,176,0.8,112.0
static_good,6,3006,172,0.807143,113.0
static_good,7,3007,166,0.8,112.0
static_good,8,3008,165,0.8,112.0
static_good,9,3009,180,0.8,112.0
static_good,10,3010,171,0.8,112.0
static_good,11,3011,169,0.8,112.0
static_good,12,3012,169,0.8,112.0
static_good,13,3013,197,0.8,112.0
static_good,14,3014,184,0.8,112.0
static_good,15,3015,170,0.8,112.0
static_good,16,3016,166,0.8,112.0
static_good,17,3017,162,0.8,112.0
static_good,18,3018,169,0.8,112.0
static_good,19,3019,192,0.8,112.0
trained_mqmix_best,0,3000,150,0.8,112.0
trained_mqmix_best,1,3001,150,0.807143,113.0
trained_mqmix_best,2,3002,146,0.8,112.0
trained_mqmix_best,3,3003,156,0.8,112.0
trained_mqmix_best,4,3004,151,0.8,112.0
trained_mqmix_best,5,3005,150,0.8,112.0
trained_mqmix_best,6,3006,153,0.8,112.0
trained_mqmix_best,7,3007,152,0.8,112.0
trained_mqmix_best,8,3008,151,0.8,112.0
trained_mqmix_best,9,3009,151,0.8,112.0
trained_mqmix_best,10,3010,147,0.8,112.0
trained_mqmix_best,11,3011,156,0.8,112.0
trained_mqmix_best,12,3012,152,0.807143,113.0
trained_mqmix_best,13,3013,152,0.8,112.0
trained_mqmix_best,14,3014,160,0.8,112.0
trained_mqmix_best,15,3015,154,0.8,112.0
trained_mqmix_best,16,3016,150,0.8,112.0
trained_mqmix_best,17,3017,148,0.8,112.0
trained_mqmix_best,18,3018,155,0.8,112.0
trained_mqmix_best,19,3019,150,0.8,112.0
