block_prob,position,factor,cutoff,decay,baseline_mean_steps,robot_mean_steps,robot_std_steps,mean_escaped,mean_rate,reduction_percent
0.9,upstream_exit,0.5,3.0,0.35,177.7,151.8,3.027,112.3,0.802,14.575
0.9,upstream_exit,0.5,3.0,0.5,177.7,166.7,13.312,112.0,0.8,6.19
0.9,upstream_exit,0.5,4.0,0.35,177.7,161.1,5.029,112.3,0.802,9.342
0.9,upstream_exit,0.5,4.0,0.5,177.7,167.0,13.214,111.8,0.799,6.021
0.9,upstream_exit,0.5,5.0,0.35,177.7,165.2,11.17,112.1,0.801,7.034
0.9,upstream_exit,0.5,5.0,0.5,177.7,167.1,8.848,112.2,0.801,5.965
0.9,upstream_exit,0.8,3.0,0.35,177.7,150.0,2.72,112.1,0.801,15.588
0.9,upstream_exit,0.8,3.0,0.5,177.7,150.7,2.934,112.0,0.8,15.194
0.9,upstream_exit,0.8,4.0,0.35,177.7,147.2,1.6,112.1,0.801,17.164
0.9,upstream_exit,0.8,4.0,0.5,177.7,151.5,3.008,112.2,0.801,14.744
0.9,upstream_exit,0.8,5.0,0.35,177.7,153.9,6.188,112.2,0.801,13.393
0.9,upstream_exit,0.8,5.0,0.5,177.7,159.6,7.877,112.0,0.8,10.186
0.9,upstream_exit,1.0,3.0,0.35,177.7,150.8,2.227,112.1,0.801,15.138
0.9,upstream_exit,1.0,3.0,0.5,177.7,150.8,2.227,112.1,0.801,15.138
0.9,upstream_exit,1.0,4.0,0.35,177.7,145.7,1.005,112.0,0.8,18.008
0.9,upstream_exit,1.0,4.0,0.5,177.7,147.5,2.655,112.1,0.801,16.995
0.9,upstream_exit,1.0,5.0,0.35,177.7,187.2,10.98,111.4,0.796,-5.346
0.9,upstream_exit,1.0,5.0,0.5,177.7,156.2,7.139,112.1,0.801,12.099
0.9,upstream_exit,1.2,3.0,0.35,177.7,150.2,2.358,112.1,0.801,15.476
0.9,upstream_exit,1.2,3.0,0.5,177.7,150.2,2.358,112.1,0.801,15.476
0.9,upstream_exit,1.2,4.0,0.35,177.7,145.9,0.831,112.0,0.8,17.895
0.9,upstream_exit,1.2,4.0,0.5,177.7,147.7,2.648,112.0,0.8,16.882
0.9,upstream_exit,1.2,5.0,0.35,177.7,200.0,0.0,34.0,0.243,-12.549
0.9,upstream_exit,1.2,5.0,0.5,177.7,150.8,3.187,112.1,0.801,15.138
0.9,behind_exit,0.5,3.0,0.35,177.7,169.4,9.992,112.2,0.801,4.671
0.9,behind_exit,0.5,3.0,0.5,177.7,171.8,8.424,112.1,0.801,3.32
0.9,behind_exit,0.5,4.0,0.35,177.7,169.3,12.892,112.0,0.8,4.727
0.9,behind_exit,0.5,4.0,0.5,177.7,176.9,11.768,112.2,0.801,0.45
0.9,behind_exit,0.5,5.0,0.35,177.7,169.7,10.982,112.1,0.801,4.502
0.9,behind_exit,0.5,5.0,0.5,177.7,170.7,10.964,112.1,0.801,3.939
0.9,behind_exit,0.8,3.0,0.35,177.7,166.9,7.259,112.2,0.801,6.078
0.9,behind_exit,0.8,3.0,0.5,177.7,172.1,11.068,112.1,0.801,3.151
0.9,behind_exit,0.8,4.0,0.35,177.7,154.2,3.97,112.1,0.801,13.225
0.9,behind_exit,0.8,4.0,0.5,177.7,169.4,12.068,112.0,0.8,4.671
0.9,behind_exit,0.8,5.0,0.35,177.7,162.7,13.957,112.0,0.8,8.441
0.9,behind_exit,0.8,5.0,0.5,177.7,165.4,11.868,112.3,0.802,6.922
0.9,behind_exit,1.0,3.0,0.35,177.7,168.5,7.297,112.3,0.802,5.177
0.9,behind_exit,1.0,3.0,0.5,177.7,168.5,7.297,112.3,0.802,5.177
0.9,behind_exit,1.0,4.0,0.35,177.7,152.1,4.742,112.2,0.801,14.406
