block_prob,position,factor,cutoff,decay,baseline_mean_steps,robot_mean_steps,robot_std_steps,mean_escaped,mean_rate,reduction_percent
0.7,default,0.0,3.0,0.35,164.333,166.333,5.249,112.0,0.8,-1.217
0.7,default,0.0,3.0,0.5,164.333,166.333,5.249,112.0,0.8,-1.217
0.7,default,0.0,4.0,0.35,164.333,166.333,5.249,112.0,0.8,-1.217
0.7,default,0.0,4.0,0.5,164.333,166.333,5.249,112.0,0.8,-1.217
0.7,default,0.0,5.0,0.35,164.333,166.333,5.249,112.0,0.8,-1.217
0.7,default,0.0,5.0,0.5,164.333,166.333,5.249,112.0,0.8,-1.217
0.7,default,0.5,3.0,0.35,164.333,158.0,2.944,112.0,0.8,3.854
0.7,default,0.5,3.0,0.5,164.333,159.667,3.859,112.0,0.8,2.84
0.7,default,0.5,4.0,0.35,164.333,162.333,0.943,112.0,0.8,1.217
0.7,default,0.5,4.0,0.5,164.333,159.0,4.32,112.333,0.802,3.245
0.7,default,0.5,5.0,0.35,164.333,162.0,3.266,112.333,0.802,1.42
0.7,default,0.5,5.0,0.5,164.333,168.333,3.682,112.0,0.8,-2.434
0.7,default,0.8,3.0,0.35,164.333,148.333,0.943,112.0,0.8,9.736
0.7,default,0.8,3.0,0.5,164.333,155.0,2.16,112.0,0.8,5.68
0.7,default,0.8,4.0,0.35,164.333,157.0,1.414,112.0,0.8,4.462
0.7,default,0.8,4.0,0.5,164.333,158.0,3.559,112.333,0.802,3.854
0.7,default,0.8,5.0,0.35,164.333,155.333,3.399,112.0,0.8,5.477
0.7,default,0.8,5.0,0.5,164.333,160.667,0.471,112.0,0.8,2.231
0.7,default,1.0,3.0,0.35,164.333,146.0,0.816,112.0,0.8,11.156
0.7,default,1.0,3.0,0.5,164.333,146.0,0.816,112.0,0.8,11.156
0.7,default,1.0,4.0,0.35,164.333,161.333,4.497,112.0,0.8,1.826
0.7,default,1.0,4.0,0.5,164.333,152.0,2.944,112.333,0.802,7.505
0.7,default,1.0,5.0,0.35,164.333,200.0,0.0,96.667,0.69,-21.704
0.7,default,1.0,5.0,0.5,164.333,155.333,4.497,112.333,0.802,5.477
0.7,default,1.2,3.0,0.35,164.333,147.333,2.055,112.333,0.802,10.345
0.7,default,1.2,3.0,0.5,164.333,147.333,2.055,112.333,0.802,10.345
0.7,default,1.2,4.0,0.35,164.333,161.333,1.247,112.333,0.802,1.826
0.7,default,1.2,4.0,0.5,164.333,155.0,3.742,112.0,0.8,5.68
0.7,default,1.2,5.0,0.35,164.333,200.0,0.0,31.667,0.226,-21.704
0.7,default,1.2,5.0,0.5,164.333,156.333,0.943,112.333,0.802,4.868
0.7,exit_default,0.0,3.0,0.35,164.333,158.333,5.437,112.0,0.8,3.651
0.7,exit_default,0.0,3.0,0.5,164.333,158.333,5.437,112.0,0.8,3.651
0.7,exit_default,0.0,4.0,0.35,164.333,158.333,5.437,112.0,0.8,3.651
0.7,exit_default,0.0,4.0,0.5,164.333,158.333,5.437,112.0,0.8,3.651
0.7,exit_default,0.0,5.0,0.35,164.333,158.333,5.437,112.0,0.8,3.651
0.7,exit_default,0.0,5.0,0.5,164.333,158.333,5.437,112.0,0.8,3.651
0.7,exit_default,0.5,3.0,0.35,164.333,200.0,0.0,109.333,0.781,-21.704
0.7,exit_default,0.5,3.0,0.5,164.333,159.667,7.318,112.0,0.8,2.84
0.7,exit_default,0.5,4.0,0.35,164.333,154.333,2.055,112.0,0.8,6.085
0.7,exit_default,0.5,4.0,0.5,164.333,161.0,4.546,112.0,0.8,2.028
0.7,exit_default,0.5,5.0,0.35,164.333,156.333,1.7,112.333,0.802,4.868
0.7,exit_default,0.5,5.0,0.5,164.333,159.333,0.943,112.0,0.8,3.043
0.7,exit_default,0.8,3.0,0.35,164.333,200.0,0.0,31.667,0.226,-21.704
0.7,exit_default,0.8,3.0,0.5,164.333,200.0,0.0,81.333,0.581,-21.704
0.7,exit_default,0.8,4.0,0.35,164.333,200.0,0.0,69.333,0.495,-21.704
0.7,exit_default,0.8,4.0,0.5,164.333,186.333,8.807,112.0,0.8,-13.387
0.7,exit_default,0.8,5.0,0.35,164.333,171.0,4.32,112.0,0.8,-4.057
0.7,exit_default,0.8,5.0,0.5,164.333,152.0,2.16,112.0,0.8,7.505
0.7,exit_default,1.0,3.0,0.35,164.333,200.0,0.0,22.667,0.162,-21.704
0.7,exit_default,1.0,3.0,0.5,164.333,200.0,0.0,22.667,0.162,-21.704
0.7,exit_default,1.0,4.0,0.35,164.333,200.0,0.0,6.333,0.045,-21.704
0.7,exit_default,1.0,4.0,0.5,164.333,200.0,0.0,85.667,0.612,-21.704
0.7,exit_default,1.0,5.0,0.35,164.333,200.0,0.0,64.667,0.462,-21.704
0.7,exit_default,1.0,5.0,0.5,164.333,200.0,0.0,105.667,0.755,-21.704
0.7,exit_default,1.2,3.0,0.35,164.333,200.0,0.0,15.0,0.107,-21.704
0.7,exit_default,1.2,3.0,0.5,164.333,200.0,0.0,15.0,0.107,-21.704
0.7,exit_default,1.2,4.0,0.35,164.333,200.0,0.0,5.667,0.04,-21.704
0.7,exit_default,1.2,4.0,0.5,164.333,200.0,0.0,74.333,0.531,-21.704
0.7,exit_default,1.2,5.0,0.35,164.333,200.0,0.0,2.667,0.019,-21.704
0.7,exit_default,1.2,5.0,0.5,164.333,200.0,0.0,85.667,0.612,-21.704
0.7,upstream_exit,0.0,3.0,0.35,164.333,163.333,1.7,112.0,0.8,0.609
0.7,upstream_exit,0.0,3.0,0.5,164.333,163.333,1.7,112.0,0.8,0.609
0.7,upstream_exit,0.0,4.0,0.35,164.333,163.333,1.7,112.0,0.8,0.609
0.7,upstream_exit,0.0,4.0,0.5,164.333,163.333,1.7,112.0,0.8,0.609
0.7,upstream_exit,0.0,5.0,0.35,164.333,163.333,1.7,112.0,0.8,0.609
0.7,upstream_exit,0.0,5.0,0.5,164.333,163.333,1.7,112.0,0.8,0.609
0.7,upstream_exit,0.5,3.0,0.35,164.333,159.667,1.247,112.0,0.8,2.84
0.7,upstream_exit,0.5,3.0,0.5,164.333,161.0,6.377,112.0,0.8,2.028
0.7,upstream_exit,0.5,4.0,0.35,164.333,163.667,1.7,112.0,0.8,0.406
0.7,upstream_exit,0.5,4.0,0.5,164.333,164.667,6.182,112.333,0.802,-0.203
0.7,upstream_exit,0.5,5.0,0.35,164.333,164.0,2.449,112.0,0.8,0.203
0.7,upstream_exit,0.5,5.0,0.5,164.333,163.0,1.633,112.0,0.8,0.811
0.7,upstream_exit,0.8,3.0,0.35,164.333,157.0,3.559,112.333,0.802,4.462
0.7,upstream_exit,0.8,3.0,0.5,164.333,163.0,2.944,112.0,0.8,0.811
0.7,upstream_exit,0.8,4.0,0.35,164.333,148.0,1.414,112.0,0.8,9.939
0.7,upstream_exit,0.8,4.0,0.5,164.333,161.667,6.236,112.0,0.8,1.623
0.7,upstream_exit,0.8,5.0,0.35,164.333,160.0,4.967,112.333,0.802,2.637
0.7,upstream_exit,0.8,5.0,0.5,164.333,159.667,5.558,112.333,0.802,2.84
0.7,upstream_exit,1.0,3.0,0.35,164.333,157.333,4.497,112.333,0.802,4.26
0.7,upstream_exit,1.0,3.0,0.5,164.333,157.333,4.497,112.333,0.802,4.26
0.7,upstream_exit,1.0,4.0,0.35,164.333,148.333,1.886,112.333,0.802,9.736
